# extracted from Fig 3 https://www.sciencedirect.com/science/article/pii/S0264410X17317620#b0020 using https://apps.automeris.io/wpd/
#Scotland	76.31027253668763
#Northern Ireland	72.95597484276729
#England	72.32704402515722
#Wales	68.55345911949685
United Kingdom	72
Belarus	73.79454926624737
Netherlands	66.66666666666666
Israel	63.94129979035639
Ireland	59.74842767295597
Spain	55.765199161425585
Portugal	54.29769392033542
Sweden	49.895178197064986
Italy	48.00838574423481
France	48.00838574423481
Malta	42.76729559748427
Iceland	40.88050314465409
Finland	39.41299790356395
Germany	35.84905660377358
Russia	33.9622641509434
Switzerland	29.35010482180293
Norway	27.044025157232703
Hungary	23.689727463312366
Lithuania	21.59329140461216
Croatia	19.077568134171905
Montenegro	14.67505241090146
Poland	13.626834381551356
Slovakia	13.207547169811324
Kazakhstan	10.69182389937106
Romania	7.756813417190765
Serbia	7.547169811320748
Latvia	4.821802935010488
Estonia	2.725366876310279
